County;2015 NCHS Bridged Pop: total pop;2015 NCHS Bridged Pop: Percent <18;2015 NCHS Bridged Pop: Percent +65;2015 NCHS Bridged Pop: Percent White;2015 NCHS Bridged Pop: Percent African American;2015 NCHS Bridged Pop: Percent Other;2015 NCHS Bridged Pop: Percent Hispanic;Percent Low Birth Weight: 2001-2005;Percent Low Birth Weight: 2006-2010;Percent Low Birth Weight: 2011-2015;Percent Very Low Birth Weight: 2001-2005;Percent Very Low Birth Weight: 2006-2010;Percent Very Low Birth Weight: 2011-2015;Preterm Births : 2001-2005;Preterm Births : 2006-2010;Preterm Births : 2011-2015;C-Section Deliveries : 2001-2005;C-Section Deliveries : 2006-2010;C-Section Deliveries : 2011-2015;Teen Birth Rate: 2001-2005;Teen Birth Rate: 2006-2010;Teen Birth Rate: 2011-2015;Repeat Teen Birth Rate: 2001-2005;Repeat Teen Birth Rate: 2006-2010;Repeat Teen Birth Rate: 2011-2015;Infant Death Rts: 2001-2005;Infant Death Rts: 2006-2010;Infant Death Rts: 2011-2015;Youth death rates: 2001-2005;Youth death rates: 2006-2010;Youth death rates: 2011-2015;Age-adjusted CVD Dth Rates: 2001-2005;Age-adjusted CVD Dth Rates: 2006-2010;Age-adjusted CVD Dth Rates: 2011-2015;Age-adjusted Heart Dz Dth Rates: 2001-2005;Age-adjusted Heart Dz Dth Rates: 2006-2010;Age-adjusted Heart Dz Dth Rates: 2011-2015;Age-adjusted Stroke Dth Rts: 2001-2005;Age-adjusted Stroke Dth Rts: 2006-2010;Age-adjusted Stroke Dth Rts: 2011-2015;Age-adjusted Cancer Dth Rates: 2001-2005;Age-adjusted Cancer Dth Rates: 2006-2010;Age-adjusted Cancer Dth Rates: 2011-2015;Age Adj Colon/Rectum Cancer Dth Rts: 2001-2005;Age Adj Colon/Rectum Cancer Dth Rts: 2006-2010;Age Adj Colon/Rectum Cancer Dth Rts: 2011-2015;Age-adjusted Lung Cancer Dth Rts: 2001-2005;Age-adjusted Lung Cancer Dth Rts: 2006-2010;Age-adjusted Lung Cancer Dth Rts: 2011-2015;Prostate Cancer Incidence Rates: 1999-2003;Prostate Cancer Incidence Rates: 2004-2008;Prostate Cancer Incidence Rates: 2009-2013;Breast Cancer Incidence Rates: 1999-2003;Breast Cancer Incidence Rates: 2004-2008;Breast Cancer Incidence Rates: 2009-2013;Age-adjusted Diabetes Dth Rates: 2001-2005;Age-adjusted Diabetes Dth Rates: 2006-2010;Age-adjusted Diabetes Dth Rates: 2011-2015;Age-adjusted Unint. MVA Dth Rts: 2001-2005;Age-adjusted Unint. MVA Dth Rts: 2006-2010;Age-adjusted Unint. MVA Dth Rts: 2011-2015;Age-adjusted Other Unint. Inj Dth Rts: 2001-2005;Age-adjusted Other Unint. Inj Dth Rts: 2006-2010;Age-adjusted Other Unint. Inj Dth Rts: 2011-2015;Age-adjusted Suicide Dth Rts: 2001-2005;Age-adjusted Suicide Dth Rts: 2006-2010;Age-adjusted Suicide Dth Rts: 2011-2015;Age-adjusted Homicide Dth Rts: 2001-2005;Age-adjusted Homicide Dth Rts: 2006-2010;Age-adjusted Homicide Dth Rts: 2011-2015;PCP's per 10,000 pop: 2004;PCP's per 10,000 pop: 2009;PCP's per 10,000 pop: 2014;Dentists per 10,000 pop: 2004;Dentists per 10,000 pop: 2009;Dentists per 10,000 pop: 2014;RNs per 10,000 pop: 2004;RNs per 10,000 pop: 2009;RNs per 10,000 pop: 2014; Phys Assts per 10,000 pop: 2004; Phys Assts per 10,000 pop: 2009; Phys Assts per 10,000 pop: 2014
Montgomery;27548.0;0.229744446058;0.189959343691;0.638993756353;0.186837519965;0.0192754464934;0.154893277189;9.4;8.5;9.2;1.4;1.7;1.6;11.5;8.2;10.1;28.1;31.8;29.6;80.2;69.3;59.6;36.3;26.9;24.1;9.3;8.6;11.2;95.4;64.8;65.0;337.1;228.2;206.9;255.1;172.3;155.6;65.2;44.8;36.6;186.4;150.9;154.4;21.7;13.2;13.6;55.9;52.7;48.9;142.2;135.1;152.1;148.3;146.8;125.8;41.4;22.2;30.5;28.1;32.0;23.5;30.5;32.3;25.9;11.4;12.5;9.5;11.1;7.7;8.7;3.61271676301;2.14377590396;3.23508267434;1.8063583815;1.07188795198;1.07836089145;35.7658959538;37.8733743033;34.8670021567;2.8901734104;2.85836787195;2.51617541337
Gaston;213442.0;0.229298825911;0.15384975778;0.749412018253;0.163866530486;0.0207691082355;0.0659523430253;9.0;9.9;9.7;1.8;2.0;1.9;11.0;8.3;10.8;26.5;30.7;32.5;58.6;57.1;34.2;29.8;27.2;23.8;8.8;10.2;7.6;66.4;80.3;56.4;349.8;292.1;254.9;267.4;227.3;194.9;59.6;47.8;45.1;211.9;198.4;190.6;18.4;17.8;16.8;71.3;64.4;63.5;158.4;163.7;119.7;140.3;146.1;156.5;29.9;25.0;23.0;17.8;15.7;14.0;36.3;37.1;40.4;15.9;16.8;14.7;6.4;5.4;5.0;8.14949390086;7.91238481208;7.49756803568;3.84116273034;3.81145365948;3.60642513109;71.3729561381;77.0010131712;86.4592972216;2.75110303659;2.60529743812;3.93859586685
Lincoln;81035.0;0.217942864194;0.162621089653;0.859110260998;0.0582587770716;0.0106743999506;0.0719565619794;7.7;8.4;8.1;1.6;1.2;1.3;10.6;8.3;9.4;31.3;38.2;37.0;49.9;44.7;25.9;25.9;26.2;22.5;6.2;6.6;5.9;75.1;62.0;43.8;348.8;329.7;256.8;257.7;259.9;195.7;64.1;55.0;48.4;190.8;179.0;165.0;18.4;14.8;13.9;59.8;58.8;50.6;149.2;171.5;121.2;133.6;149.3;153.8;22.6;23.3;23.2;25.2;21.3;16.5;22.9;29.2;36.0;13.5;12.6;12.7;5.8;5.4;3.6;5.24551945213;6.47138064925;6.10957332735;2.4770508524;2.90551784252;2.86775890876;39.4871047647;47.9410444016;59.5995112341;0.582835494682;1.18862093558;1.3715368694
Pamlico;12781.0;0.160707299898;0.271340270714;0.746107503325;0.202957515061;0.0133792348017;0.0375557468117;8.5;8.8;9.8;1.5;1.8;2.9;9.4;6.1;10.2;27.5;30.5;26.5;52.1;53.0;31.3;22.0;30.5;20.4;7.4;9.2;13.6;87.3;75.5;100.5;308.2;226.4;229.0;198.2;165.8;167.6;84.8;47.3;41.2;184.2;176.8;164.3;14.5;9.4;11.6;51.5;53.1;47.9;246.9;168.4;121.1;176.9;155.8;172.0;16.9;10.9;21.9;25.1;34.0;18.4;28.7;29.4;41.2;6.1;33.4;19.6;5.9;4.8;8.7;5.35536684263;3.89347453668;3.80604399787;3.06020962436;3.11477962934;3.04483519829;35.1924106801;40.4921351814;41.8664839766;1.53010481218;2.33608472201;2.28362639872
Jackson;41265.0;0.171186235308;0.181097782625;0.819483824064;0.026826608506;0.09993941597;0.0537501514601;6.8;6.7;7.3;1.8;1.1;1.9;9.2;7.1;9.3;24.0;28.4;26.1;26.3;29.5;20.6;28.1;22.4;31.4;5.4;7.6;7.8;62.0;75.0;62.1;255.7;228.4;191.5;200.5;184.1;152.3;47.4;30.7;27.1;172.0;176.8;159.3;18.4;14.6;16.4;46.5;49.7;41.2;128.8;148.7;117.4;119.9;121.9;132.3;34.5;18.7;25.5;16.9;12.0;7.8;33.3;43.3;40.6;14.2;17.4;16.4;4.2;2.5;3.2;10.6660678699;11.5792520856;9.74682618972;3.08754596233;3.68430748178;3.4113891664;84.4864849693;96.0551593463;82.1170106484;2.24548797261;3.15797784152;3.89873047589
Craven;103451.0;0.221892490164;0.177600989841;0.673023943703;0.21972721385;0.0350697431634;0.0721790992837;8.8;8.4;7.9;1.8;1.6;1.4;10.3;8.1;8.8;27.9;29.3;28.4;67.1;64.0;43.8;25.8;28.8;20.0;6.7;8.6;7.0;73.9;81.6;62.2;316.4;249.8;222.5;226.3;186.4;161.3;62.0;44.6;43.8;211.5;191.7;183.1;25.7;17.0;13.2;62.5;63.5;53.0;226.9;188.9;132.0;163.1;157.7;144.1;30.8;23.9;24.9;18.6;12.8;15.1;29.2;30.1;32.8;11.1;11.8;13.8;5.2;7.2;5.8;8.56036124724;7.77891912916;8.22809031764;3.85216256126;4.28837849428;4.30539609644;97.1601001562;101.724327074;105.625717566;1.92608128063;2.99189197275;4.20972062763
Chowan;14394.0;0.20584965958;0.230651660414;0.602681672919;0.344101709045;0.018202028623;0.0350145894123;11.1;12.0;9.8;2.5;1.8;2.1;13.8;9.9;10.6;30.3;35.7;35.9;47.8;54.5;40.1;31.3;32.8;29.3;7.9;4.4;10.3;64.0;59.0;64.3;351.9;268.5;249.0;235.1;188.2;172.0;85.8;57.2;55.9;204.2;209.1;177.9;20.3;18.5;14.2;56.4;62.2;52.1;188.9;140.0;144.7;134.8;149.4;150.6;34.2;29.7;27.5;29.2;17.9;13.9;21.2;31.8;34.4;9.6;6.5;12.5;13.3;7.0;3.4;10.3784681381;13.4970981239;9.56545504236;2.07569362762;3.37427453098;2.73298715496;96.8657026223;103.252800648;103.853511888;1.38379575175;1.34970981239;2.73298715496
Orange;141354.0;0.20272507322;0.115426517821;0.706191547462;0.123760204876;0.0847800557466;0.0852681919153;8.7;7.8;6.8;1.8;1.6;1.2;11.0;8.1;8.2;26.6;28.4;25.2;13.0;10.9;6.2;32.3;26.4;23.7;7.8;6.1;5.0;63.5;48.1;41.5;255.0;203.1;160.2;171.3;150.0;117.1;64.0;39.1;32.5;189.4;161.0;152.0;16.1;11.0;10.1;54.0;44.1;41.5;168.5;164.2;112.6;193.9;173.7;170.7;17.9;12.4;14.8;12.0;10.9;7.7;23.3;17.6;25.6;9.8;12.6;8.8;4.9;2.7;1.3;33.1179583753;32.4248333409;26.0839115863;11.7698626579;10.3547836077;16.3649746664;205.68849638;234.758816683;261.19642972;3.40920159745;4.9884358986;5.43117063166
Gates;11431.0;0.208468200507;0.179686816551;0.636777184848;0.330942174788;0.010935176275;0.0213454640889;12.9;11.2;10.5;1.0;2.9;1.5;13.9;9.5;12.4;27.7;29.8;26.9;48.1;35.6;29.2;19.8;24.7;18.9;10.5;11.8;3.8;70.6;73.6;31.3;362.2;251.7;241.2;251.4;180.5;184.2;68.8;43.4;33.2;211.6;222.2;153.3;14.8;24.4;13.9;69.2;67.8;47.0;183.3;118.9;113.9;120.2;201.1;103.3;55.9;51.1;39.4;35.0;33.4;23.1;21.8;20.9;26.8;5.4;10.6;10.2;15.3;3.2;3.5;2.75684616798;0.860363073217;1.67897918066;0.918948722661;0.0;0.839489590329;22.0547693439;21.5090768304;22.6662189389;1.83789744532;0.0;0.839489590329
Rockingham;91758.0;0.209071688572;0.187275223959;0.735641578936;0.192637154254;0.0107565552867;0.0609647115238;9.5;9.5;9.3;1.7;1.9;1.7;11.2;7.9;10.2;27.4;31.7;28.3;58.6;52.6;34.7;29.5;26.3;22.8;7.6;10.0;9.9;70.8;73.9;63.2;342.1;289.9;256.6;244.7;212.4;188.8;74.2;58.4;42.3;213.7;202.9;195.3;21.4;17.6;17.5;69.5;67.3;55.0;135.6;136.4;144.3;157.6;151.7;159.8;29.9;27.0;37.2;29.2;25.3;16.6;32.2;38.6;39.4;13.6;13.1;13.4;8.7;6.1;6.5;6.02844132497;5.65998715618;5.18677803832;2.90656992454;2.50345585754;3.24173627395;57.593144801;48.6541203618;55.0014587813;1.72241180713;1.95922632329;2.37727326756
