County;2015 NCHS Bridged Pop: total pop;2015 NCHS Bridged Pop: Percent <18;2015 NCHS Bridged Pop: Percent +65;2015 NCHS Bridged Pop: Percent White;2015 NCHS Bridged Pop: Percent African American;2015 NCHS Bridged Pop: Percent Other;2015 NCHS Bridged Pop: Percent Hispanic;Percent Low Birth Weight: 2001-2005;Percent Low Birth Weight: 2006-2010;Percent Low Birth Weight: 2011-2015;Percent Very Low Birth Weight: 2001-2005;Percent Very Low Birth Weight: 2006-2010;Percent Very Low Birth Weight: 2011-2015;Preterm Births : 2001-2005;Preterm Births : 2006-2010;Preterm Births : 2011-2015;C-Section Deliveries : 2001-2005;C-Section Deliveries : 2006-2010;C-Section Deliveries : 2011-2015;Teen Birth Rate: 2001-2005;Teen Birth Rate: 2006-2010;Teen Birth Rate: 2011-2015;Repeat Teen Birth Rate: 2001-2005;Repeat Teen Birth Rate: 2006-2010;Repeat Teen Birth Rate: 2011-2015;Infant Death Rts: 2001-2005;Infant Death Rts: 2006-2010;Infant Death Rts: 2011-2015;Youth death rates: 2001-2005;Youth death rates: 2006-2010;Youth death rates: 2011-2015;Age-adjusted CVD Dth Rates: 2001-2005;Age-adjusted CVD Dth Rates: 2006-2010;Age-adjusted CVD Dth Rates: 2011-2015;Age-adjusted Heart Dz Dth Rates: 2001-2005;Age-adjusted Heart Dz Dth Rates: 2006-2010;Age-adjusted Heart Dz Dth Rates: 2011-2015;Age-adjusted Stroke Dth Rts: 2001-2005;Age-adjusted Stroke Dth Rts: 2006-2010;Age-adjusted Stroke Dth Rts: 2011-2015;Age-adjusted Cancer Dth Rates: 2001-2005;Age-adjusted Cancer Dth Rates: 2006-2010;Age-adjusted Cancer Dth Rates: 2011-2015;Age Adj Colon/Rectum Cancer Dth Rts: 2001-2005;Age Adj Colon/Rectum Cancer Dth Rts: 2006-2010;Age Adj Colon/Rectum Cancer Dth Rts: 2011-2015;Age-adjusted Lung Cancer Dth Rts: 2001-2005;Age-adjusted Lung Cancer Dth Rts: 2006-2010;Age-adjusted Lung Cancer Dth Rts: 2011-2015;Prostate Cancer Incidence Rates: 1999-2003;Prostate Cancer Incidence Rates: 2004-2008;Prostate Cancer Incidence Rates: 2009-2013;Breast Cancer Incidence Rates: 1999-2003;Breast Cancer Incidence Rates: 2004-2008;Breast Cancer Incidence Rates: 2009-2013;Age-adjusted Diabetes Dth Rates: 2001-2005;Age-adjusted Diabetes Dth Rates: 2006-2010;Age-adjusted Diabetes Dth Rates: 2011-2015;Age-adjusted Unint. MVA Dth Rts: 2001-2005;Age-adjusted Unint. MVA Dth Rts: 2006-2010;Age-adjusted Unint. MVA Dth Rts: 2011-2015;Age-adjusted Other Unint. Inj Dth Rts: 2001-2005;Age-adjusted Other Unint. Inj Dth Rts: 2006-2010;Age-adjusted Other Unint. Inj Dth Rts: 2011-2015;Age-adjusted Suicide Dth Rts: 2001-2005;Age-adjusted Suicide Dth Rts: 2006-2010;Age-adjusted Suicide Dth Rts: 2011-2015;Age-adjusted Homicide Dth Rts: 2001-2005;Age-adjusted Homicide Dth Rts: 2006-2010;Age-adjusted Homicide Dth Rts: 2011-2015;PCP's per 10,000 pop: 2004;PCP's per 10,000 pop: 2009;PCP's per 10,000 pop: 2014;Dentists per 10,000 pop: 2004;Dentists per 10,000 pop: 2009;Dentists per 10,000 pop: 2014;RNs per 10,000 pop: 2004;RNs per 10,000 pop: 2009;RNs per 10,000 pop: 2014; Phys Assts per 10,000 pop: 2004; Phys Assts per 10,000 pop: 2009; Phys Assts per 10,000 pop: 2014
Swain;14434.0;0.223222945822;0.188928917833;0.649577386726;0.0200914507413;0.282111680754;0.0482194817791;5.7;7.0;8.1;1.3;1.2;1.4;9.3;7.5;11.3;22.3;27.1;24.2;76.1;66.0;64.7;23.8;28.7;21.1;5.6;6.5;10.8;62.6;48.9;93.1;331.7;352.1;274.4;258.7;275.8;197.1;60.4;62.3;65.9;187.3;207.7;186.4;18.1;16.3;18.4;48.4;71.5;52.3;129.8;102.2;89.0;129.7;185.3;171.6;39.8;48.9;55.0;28.7;27.6;19.9;52.5;67.7;44.8;14.3;11.8;16.8;10.7;15.1;7.3;11.7881087453;13.7144507002;13.4852673454;3.68378398291;3.60906597373;4.7198435709;69.9918956752;96.0011549011;105.185085294;5.89405437265;7.21813194745;10.7882138763
Pasquotank;39829.0;0.221019859901;0.159506891963;0.556730020839;0.374425669738;0.0198096864094;0.0490346230134;9.1;10.8;9.2;1.6;2.4;1.8;10.5;9.5;9.9;29.6;32.0;31.5;52.7;42.1;25.2;26.5;31.6;19.0;7.6;10.8;6.1;66.3;83.5;52.0;330.5;269.5;302.0;241.7;210.8;245.8;62.8;49.5;44.2;215.5;202.2;191.0;20.2;14.4;18.9;62.2;65.8;52.9;208.0;169.5;163.9;139.2;168.4;161.0;29.0;20.0;18.9;14.3;8.8;12.7;19.2;30.4;21.5;7.2;10.4;11.1;4.3;5.6;5.5;9.81434530138;8.15093615899;8.81811997682;3.54406913661;2.87680099729;3.02335542062;127.041247512;101.886701987;112.116096848;3.54406913661;4.31520149594;5.29087198609
Yancey;17587.0;0.189458122477;0.239267640871;0.930516859044;0.0142150452038;0.00631148007051;0.048956615682;8.1;7.7;8.4;1.2;1.2;1.3;11.8;10.2;12.0;25.9;33.9;33.8;44.8;36.2;45.2;18.7;15.8;20.2;1.1;6.7;7.0;21.4;59.7;52.8;268.8;231.2;218.0;206.6;179.1;173.3;48.2;39.5;35.5;160.3;189.9;180.1;17.3;20.8;11.1;42.4;55.2;63.5;120.6;147.3;107.4;133.7;152.5;146.8;29.9;10.3;17.6;13.3;15.1;13.0;35.0;42.2;50.7;12.6;14.3;12.8;4.6;3.7;3.9;8.27312337985;5.92864072437;7.25973083152;2.20616623463;1.61690201574;2.23376333277;39.7109922233;40.961517732;53.0518791534;0.551541558656;1.07793467716;1.67532249958
Warren;20155.0;0.187993053833;0.225353510295;0.389729595634;0.514909451749;0.0559166459935;0.0394443066237;13.1;14.4;12.7;2.9;2.5;2.5;16.4;10.8;12.1;32.0;33.4;29.0;47.8;56.4;40.9;31.6;31.1;24.1;11.9;12.1;9.9;103.4;90.6;81.1;348.5;266.3;230.4;267.1;206.9;173.2;70.0;45.9;37.0;211.2;180.2;174.9;28.6;22.2;19.0;49.6;51.1;58.3;156.3;251.0;138.8;135.2;179.3;154.3;20.5;22.7;25.3;38.3;28.9;14.2;22.7;18.5;16.0;8.4;11.3;8.3;10.2;13.7;8.8;3.94360642808;1.00336126022;0.487471970362;2.46475401755;2.50840315055;1.94988788145;23.6616385685;23.0773089851;21.9362386663;0.98590160702;0.501680630111;1.46241591109
Person;39259.0;0.216740110548;0.179474770116;0.671565755623;0.273313125653;0.0117934741078;0.0433276446165;9.1;9.7;8.7;2.0;2.0;2.2;11.2;9.0;9.2;31.1;31.8;28.9;50.0;50.6;39.6;25.8;21.9;23.1;10.5;6.8;8.3;88.9;67.1;59.6;358.6;293.4;245.8;236.8;201.9;168.4;100.6;76.6;60.0;212.6;208.0;190.3;21.5;20.2;18.8;58.9;65.4;60.8;205.0;157.7;130.7;149.2;127.3;136.7;27.0;30.7;30.7;28.0;22.9;21.8;29.8;28.6;30.0;17.7;11.2;16.7;6.4;9.7;3.5;5.319997872;5.22547943774;5.60295428499;2.3939990424;2.61273971887;2.29211766204;49.7419801032;50.9484245179;54.7561441487;2.1279991488;3.13528766264;2.29211766204
Henderson;112655.0;0.195206604234;0.247570014646;0.846424925658;0.0372287071146;0.0167946384981;0.0995517287293;8.1;7.4;6.9;1.5;1.4;1.3;9.6;6.9;8.8;28.7;33.5;32.5;50.5;50.3;31.6;27.7;23.2;20.0;7.1;5.7;5.1;63.1;47.6;47.5;253.7;224.6;188.9;189.9;168.6;145.5;47.8;41.1;35.0;172.0;162.0;157.1;15.1;13.4;14.2;49.1;48.7;43.9;150.1;176.4;126.2;155.3;150.1;162.9;15.2;13.4;11.2;19.3;11.2;13.5;35.0;32.4;41.2;10.5;14.7;19.8;4.0;4.3;2.7;10.6879734357;9.88161070254;9.55841907355;4.66950295735;4.2756969386;4.86938330162;96.5030611186;95.7756114247;103.158786983;2.1791013801;3.70560401345;4.68903577193
Edgecombe;54150.0;0.230397045245;0.175512465374;0.37216989843;0.57595567867;0.00919667590028;0.0426777469991;12.8;12.7;12.2;2.8;2.3;2.5;13.9;10.5;11.6;26.7;33.4;32.1;71.5;65.4;52.3;34.1;29.6;24.6;12.5;10.9;8.7;84.1;89.6;73.8;406.4;327.4;307.2;267.6;218.5;192.1;106.3;81.4;95.3;221.9;202.6;189.7;19.4;19.7;16.0;60.5;59.4;51.4;190.4;194.4;155.5;164.4;177.1;146.1;31.7;31.4;28.9;20.0;19.5;17.4;20.8;26.1;33.0;9.8;10.1;8.1;13.5;11.5;14.6;4.27692136043;4.48002493231;5.58729700989;1.30167171839;1.36348584896;1.80235387416;50.7651970173;67.9795087555;63.9835625327;0.74381241051;1.94783692709;3.06400158607
Lenoir;58106.0;0.22619006643;0.182821051182;0.500843286408;0.409269266513;0.0116855402196;0.0782019068599;11.6;10.9;10.7;2.8;2.0;2.0;13.7;9.7;11.4;32.1;33.8;34.5;72.9;64.1;41.1;31.2;31.6;28.5;13.6;9.5;7.0;105.3;82.6;58.9;438.0;357.7;288.3;301.0;253.3;204.0;75.0;54.3;56.6;216.3;214.3;192.6;20.5;22.1;21.2;59.7;69.4;45.6;241.9;219.8;145.7;172.3;178.4;157.1;42.3;38.1;40.0;26.3;19.8;16.1;24.6;31.2;28.6;11.8;11.4;11.1;13.1;6.6;14.8;7.95383391718;7.68800670953;5.77936426993;4.39999323078;4.36818563042;3.56960734319;93.2460103908;111.650824713;99.9490056094;1.35384407101;2.62091137825;3.22964473908
Granville;58674.0;0.209445410233;0.159201690698;0.59099430753;0.320959880015;0.0119473702151;0.0760984422402;9.2;9.3;8.5;1.8;1.5;1.8;12.2;8.1;9.3;30.0;30.9;30.5;44.3;40.0;25.9;32.0;27.9;15.3;6.9;4.7;8.3;60.8;56.9;47.7;317.2;255.5;200.9;225.7;192.2;155.6;76.3;49.8;33.2;218.4;228.7;178.5;19.6;26.3;16.1;67.9;66.8;53.5;173.1;206.6;132.3;147.7;146.7;156.5;37.3;38.4;29.0;20.9;20.6;19.1;18.1;26.3;27.0;7.1;10.9;15.0;7.2;4.1;4.4;5.43620890039;6.96390953882;6.53999724632;2.62437671053;3.13375929247;3.61420900454;97.1019382897;99.4098086666;134.24204874;2.43692123121;3.48195476941;4.13052457662
Hertford;24184.0;0.195997353622;0.180119087;0.344483956335;0.602753886867;0.0184832947403;0.0342788620576;14.1;12.4;13.2;3.4;2.3;3.5;17.6;11.0;14.0;22.4;30.0;34.6;65.6;59.7;31.8;24.0;29.5;24.3;14.2;16.8;17.8;117.8;116.6;106.2;366.0;259.1;259.2;237.5;170.5;189.0;87.5;53.1;39.2;224.0;221.0;174.1;27.2;31.7;23.0;53.2;59.5;44.5;223.6;162.1;141.5;155.2;155.0;144.5;46.0;49.0;54.9;33.4;22.0;19.5;25.4;19.6;26.6;5.6;5.9;9.8;8.8;6.0;6.5;8.4054803732;8.34724540902;9.3579624054;4.62301420526;3.33889816361;2.03433965335;111.792888964;126.460767947;129.790869884;5.46356224258;2.92153589316;3.66181137603
Durham;300952.0;0.217177490098;0.114519923443;0.430218107871;0.380216778755;0.0556068741859;0.133958239188;9.5;9.4;9.0;2.2;1.8;1.9;11.0;8.8;10.1;27.2;30.8;29.2;46.8;42.7;27.1;31.3;27.5;28.3;6.5;6.8;7.0;73.9;74.5;73.2;264.3;216.3;184.2;186.1;154.0;130.8;59.5;44.4;37.0;202.7;184.4;167.0;18.5;14.1;14.4;62.0;50.4;41.0;202.8;204.8;125.9;169.7;158.2;186.4;28.6;24.5;21.0;13.1;11.1;7.1;23.6;25.2;22.7;9.8;7.8;8.7;11.5;9.5;10.2;21.8641253098;20.3239051952;16.5645074626;6.17536363712;6.72454534184;6.53682009371;203.369745725;217.101382852;238.78216646;9.59684889553;10.3685727059;12.286483841
Duplin;59159.0;0.24461197789;0.165012931253;0.523301610913;0.250156358289;0.00906032894403;0.217481701854;9.5;8.2;8.0;2.0;2.0;1.7;12.2;7.9;8.5;25.6;29.2;31.3;70.7;62.7;42.2;27.5;29.2;22.1;9.4;9.5;7.9;91.9;83.1;59.5;349.6;270.4;235.4;240.3;191.2;170.9;87.2;54.7;48.3;205.7;167.7;165.1;17.4;12.4;13.7;53.8;50.1;48.6;154.4;148.8;103.1;150.0;131.2;136.8;33.0;27.6;27.7;32.9;30.5;23.8;29.3;24.6;25.7;12.5;14.6;9.8;11.1;8.0;6.1;4.24538314583;4.84423908183;3.1600306024;2.12269157291;2.42211954092;1.66317400126;49.4008220606;53.1003130124;54.2194724412;0.578915883522;1.30421821434;1.99580880152
Halifax;52456.0;0.217248741803;0.190311880433;0.393606069849;0.531874332774;0.046572365411;0.0279472319658;12.9;12.7;11.8;3.0;3.0;2.4;14.9;12.0;12.9;27.4;32.4;33.4;74.8;62.8;47.7;28.6;25.1;25.1;12.5;13.3;11.4;100.1;93.3;91.7;394.4;319.0;270.3;273.5;238.8;190.6;86.7;53.4;50.2;217.9;216.3;193.2;19.7;21.9;20.3;61.1;61.4;49.4;164.6;182.8;139.4;145.4;165.0;168.4;39.6;41.8;45.7;29.2;26.8;23.2;21.4;25.1;35.7;12.0;12.9;9.6;12.9;10.5;13.8;7.19967689255;7.43036300042;7.5202105659;1.93162062971;2.17474039037;2.25606316977;73.5771858043;78.2906540532;82.910321489;1.75601875428;1.9935120245;2.44406843392
Graham;8616.0;0.213091922006;0.227599814299;0.880803156917;0.00928505106778;0.0754410399257;0.0344707520891;7.1;7.5;11.0;2.0;1.7;1.1;12.5;6.9;10.3;19.8;26.6;25.3;67.9;67.0;47.7;27.5;25.6;20.0;6.1;8.4;2.2;32.7;73.1;21.5;327.2;251.4;259.1;261.1;208.1;208.9;52.3;30.3;33.9;170.0;171.3;162.7;23.9;12.3;10.2;51.6;41.7;52.9;90.3;102.8;85.5;61.9;133.3;163.6;27.3;23.3;25.3;24.7;15.3;15.2;35.5;47.5;66.1;11.3;12.4;29.0;6.0;17.5;9.9;3.68686248003;4.80365077459;4.5305244082;1.22895416001;1.20091269365;2.2652622041;38.0975789603;38.4292061967;31.7136708574;3.68686248003;1.20091269365;1.13263110205
Lee;59660.0;0.249312772377;0.154039557492;0.589591015756;0.198709353;0.0178846798525;0.193814951391;8.6;9.6;10.4;1.9;1.6;1.6;11.4;9.0;11.2;25.3;26.0;26.2;75.8;70.6;41.2;29.8;31.0;25.8;8.2;6.8;8.9;85.4;70.3;65.9;321.9;276.9;246.4;241.8;207.3;182.8;63.6;50.6;44.4;203.2;175.5;186.6;21.3;16.4;19.5;64.1;60.4;51.3;148.6;139.8;109.7;129.7;148.8;144.6;36.0;27.2;24.2;30.7;26.7;24.1;24.7;29.2;29.4;10.1;9.4;11.8;14.5;11.6;9.4;8.70235952612;8.36548639328;7.43318579586;4.15339886474;3.92665687848;5.23701726526;67.0477245308;64.5337521767;70.7842011015;2.76893257649;3.07303581794;4.39233706119
Northampton;20426.0;0.187261333594;0.232595711348;0.386615098404;0.584989718986;0.00793106824635;0.020464114364;13.7;14.6;11.2;3.5;3.5;2.5;16.6;10.3;12.9;26.4;32.1;34.0;59.5;59.9;38.7;23.3;27.2;20.7;18.5;10.2;8.8;113.2;74.8;93.3;369.0;285.4;226.2;273.4;212.0;157.3;65.4;45.1;41.2;219.0;180.6;188.7;19.7;18.8;14.0;53.0;52.9;55.1;236.9;210.9;165.2;135.7;142.8;158.4;39.0;30.9;43.7;29.6;33.4;22.3;21.8;18.7;26.5;11.3;10.4;14.2;9.0;14.0;10.4;2.74977085243;2.38095238095;2.3548250365;0.458295142071;0.952380952381;0.4709650073;28.4142988084;31.4285714286;40.9739556351;0.916590284143;0.952380952381;1.4128950219
New Hanover;220358.0;0.192123725937;0.161913794825;0.778796322348;0.144846114051;0.0217736592273;0.0545839043738;9.2;8.4;7.8;1.9;1.6;1.3;10.9;8.3;9.1;27.4;27.8;25.8;29.8;29.0;17.6;29.4;27.6;25.4;4.7;4.8;3.6;41.6;47.3;36.5;299.6;241.8;219.1;218.7;184.5;157.8;59.6;39.8;46.6;191.8;180.3;161.4;16.5;15.3;10.3;60.3;52.1;49.3;163.3;114.7;100.0;165.3;157.6;152.5;23.4;16.7;16.7;10.9;10.2;10.5;25.4;28.3;33.0;11.6;13.2;14.7;5.3;5.0;5.7;11.9805533048;12.8285050412;11.615311931;7.17675656905;7.26433417998;7.37480122606;144.113902072;137.610188615;149.570187366;5.38256742679;7.93409548735;9.03413150192
Sampson;63724.0;0.247191011236;0.164349381709;0.524668884565;0.263260310087;0.0245119578181;0.18755884753;9.6;9.3;8.9;2.1;2.0;1.8;12.2;8.5;10.7;34.1;38.4;35.3;66.5;65.4;49.9;31.4;26.5;24.1;9.7;10.9;7.6;97.3;89.9;76.8;368.4;275.5;245.7;244.4;200.0;175.9;97.6;57.1;53.9;209.9;202.6;182.4;21.2;16.5;16.0;57.3;61.7;53.6;166.3;128.4;111.0;152.8;132.2;135.4;44.9;32.8;48.2;39.6;33.3;25.8;31.6;39.7;40.5;10.8;11.2;10.4;11.4;11.9;9.3;5.18892400585;5.65602213492;5.74552004721;1.57240121389;1.68152009417;1.552843256;52.8326807868;51.974257456;58.3869064257;2.35860182084;2.14011648348;2.0186962328
Wilson;81714.0;0.235675649216;0.167670166679;0.485045402257;0.397190199966;0.0149056465232;0.102858751254;10.2;9.3;11.3;2.3;2.0;2.6;12.2;8.1;11.5;25.4;27.4;28.9;68.5;61.5;40.5;29.7;26.4;26.8;12.4;9.8;9.4;100.1;71.3;56.5;345.2;255.4;240.9;241.9;190.1;178.6;73.9;43.5;45.4;202.6;215.4;186.1;15.8;19.8;15.0;58.0;59.7;52.7;141.8;165.7;108.8;149.1;167.0;143.6;33.5;32.4;27.2;22.4;22.1;16.8;25.3;30.0;28.6;7.9;9.6;10.2;14.3;8.8;8.6;5.63476255373;6.37324735698;6.38742169267;2.75186078205;2.74924395791;3.56221594399;81.1143725757;81.6025592962;93.1089546739;1.70353286508;3.24910649571;4.17639110674
Randolph;142799.0;0.233145890377;0.164377901806;0.804872583141;0.0637609507069;0.0182284189665;0.113138047185;8.1;8.4;7.9;1.4;1.6;1.3;11.2;8.6;9.5;28.5;31.2;31.8;60.0;53.8;38.6;27.4;28.6;24.7;7.3;7.6;6.4;61.8;58.9;47.3;300.2;253.9;244.0;220.0;193.4;184.4;63.2;44.7;45.7;198.8;189.7;170.1;20.3;17.3;13.3;62.0;65.6;56.9;157.8;159.6;140.4;146.4;136.1;156.1;23.4;21.8;22.9;22.3;19.7;17.3;23.8;35.0;36.7;13.4;16.9;16.8;4.9;5.3;3.6;5.3863231066;4.98263096951;4.61283626528;2.6931615533;2.52640443524;2.79565834259;35.7389816938;41.8962068845;53.9562060121;0.800669650981;0.982490613706;2.51609250833
Wilkes;68502.0;0.209599719716;0.202256868413;0.884864675484;0.0468891419229;0.00731365507576;0.0609325275174;8.6;8.6;8.8;1.5;1.5;1.6;11.3;9.1;11.2;30.5;35.4;35.3;56.9;50.6;44.5;29.3;23.3;23.1;7.1;7.1;9.4;67.2;58.6;64.9;295.0;237.2;210.6;210.8;173.4;163.4;63.4;49.1;35.7;195.1;181.4;175.5;20.3;14.1;17.7;62.2;58.3;55.1;131.2;165.0;133.3;142.1;136.2;125.8;23.5;22.8;24.4;22.9;27.1;18.0;40.8;53.1;45.2;14.7;17.0;15.0;5.1;5.1;6.8;5.62887911241;6.51533324449;5.8669490434;3.1106963516;2.66536360002;2.43263740824;61.3251566458;66.4860142449;69.2586179758;2.66631115851;1.77690906668;1.86025213571
Yadkin;37585.0;0.216176666223;0.188346414793;0.851217240921;0.0347745111082;0.00478914460556;0.109219103366;7.7;9.8;10.3;1.4;2.2;1.9;10.6;9.7;11.7;23.7;28.5;29.2;51.2;50.9;30.7;26.3;24.4;21.0;6.9;9.7;7.2;84.4;77.2;52.1;307.1;242.8;258.7;211.1;186.8;193.4;74.3;43.2;53.4;197.2;195.5;175.1;17.9;16.5;11.3;65.3;58.9;56.9;155.3;158.8;137.8;145.4;138.5;135.2;27.8;19.3;25.0;22.3;23.2;16.7;36.4;41.9;45.2;13.2;15.0;17.5;5.7;3.6;2.4;4.26393774651;3.94726454567;3.17107975266;1.59897665494;1.05260387885;1.84979652238;29.8475642256;32.6307202442;42.8095766609;1.06598443663;1.05260387885;0.528513292109
Stokes;46351.0;0.19706155207;0.197320446161;0.919225043688;0.0435157817523;0.00744320510884;0.0298159694505;9.0;9.9;8.8;2.0;2.0;1.2;12.7;9.1;11.4;23.2;28.7;26.5;41.9;32.7;23.4;26.1;22.5;18.3;7.8;9.8;6.5;58.5;68.7;64.5;333.1;276.3;242.3;218.0;176.6;148.3;90.4;62.3;64.8;215.7;177.4;177.4;20.1;13.3;14.5;71.7;59.7;58.9;158.0;111.2;125.4;141.4;128.4;130.8;17.4;19.0;17.8;21.2;22.1;18.9;31.8;34.3;40.1;14.1;18.7;18.4;7.0;2.0;4.6;2.58866166192;2.7778964913;4.4885222075;1.51005263612;1.49579041839;1.06869576369;29.7696091121;30.7705457498;43.1753088531;1.0786090258;0.854737381939;2.13739152738
Wake;1024198.0;0.247202201137;0.103017190036;0.61626755764;0.210312849664;0.0725748341629;0.100844758533;7.8;7.8;8.0;1.6;1.6;1.6;10.5;8.1;9.4;27.8;31.6;29.4;28.9;27.4;15.4;28.9;29.7;24.9;6.4;6.7;5.9;58.1;55.9;44.9;282.1;205.4;181.1;190.1;143.3;125.0;67.6;44.7;39.1;175.7;160.5;151.0;15.2;12.7;11.4;49.9;43.4;35.9;164.7;194.2;137.8;173.1;163.8;171.9;25.1;18.9;16.6;11.8;10.0;7.9;19.4;19.6;21.0;8.7;8.6;8.9;3.5;3.2;2.8;9.09296307231;10.0492153882;9.39805746415;6.47319169934;6.7218832028;7.17540672479;97.2226265079;103.494595046;113.639362231;2.56432647619;3.78666087091;5.17603596838
Cherokee;27178.0;0.177790860255;0.274192361469;0.925601589521;0.0195378615056;0.0238796085069;0.0309809404666;9.9;10.3;10.3;1.2;1.9;2.2;17.2;8.1;13.6;24.3;33.3;31.8;56.7;49.0;35.6;24.8;20.2;19.2;9.0;11.1;10.1;77.7;70.8;72.7;283.7;274.1;262.1;223.8;222.0;203.3;46.1;39.3;39.8;205.6;179.7;167.6;22.7;14.5;11.1;72.5;58.4;48.2;92.9;108.4;84.0;118.1;147.3;150.8;21.5;15.6;25.1;26.9;17.7;23.1;52.7;46.9;54.0;11.3;21.5;23.5;6.0;6.1;5.7;8.95150618822;4.85110829166;5.82856726531;3.50276329104;2.98529741025;2.91428363265;76.2824005604;78.7372191955;83.0570835307;2.72437144859;3.73162176282;3.27856908674
Alleghany;10837.0;0.178462674172;0.25154563071;0.871827996678;0.0210390329427;0.0106117929316;0.0965211774476;10.4;7.6;8.5;0.8;1.0;1.5;11.4;7.5;10.4;27.1;34.8;36.7;37.9;66.5;36.8;28.3;23.1;26.8;12.2;7.6;2.1;75.6;44.5;19.6;327.1;279.2;202.7;235.4;217.7;156.1;65.9;42.0;29.3;189.5;156.2;143.2;10.9;10.5;14.0;56.5;66.0;42.8;165.8;147.0;119.4;125.9;105.0;129.5;27.6;13.8;25.5;17.5;25.2;15.5;26.2;33.8;36.0;18.7;25.0;24.3;3.3;7.2;6.2;10.0806451613;7.1256791663;6.3068744932;1.83284457478;0.890709895787;1.80196414091;69.6480938416;44.5354947893;51.355978016;3.66568914956;0.890709895787;1.80196414091
Burke;88842.0;0.195898336372;0.189516219806;0.831025866144;0.0658697462912;0.0425474437766;0.0605569437878;8.6;8.1;7.7;1.6;1.7;1.0;10.5;7.9;8.5;28.2;33.4;33.7;58.2;54.2;37.3;27.0;29.5;21.2;7.3;8.7;6.9;62.2;66.1;51.1;312.4;261.1;249.6;230.6;197.8;189.9;67.1;46.4;48.6;195.4;187.1;182.1;18.4;19.0;17.0;65.1;60.9;56.6;169.1;141.6;106.7;151.2;154.8;164.5;24.6;21.4;22.3;23.8;16.3;13.5;35.1;43.1;47.3;17.1;16.1;16.5;6.9;4.6;3.5;7.89388835151;7.806488307;7.51146339002;3.55780883448;3.9032441535;3.36334181643;101.953459413;112.301910359;117.492740787;2.33481204763;2.45346775363;3.58756460419
Alexander;37325.0;0.207233757535;0.194722036169;0.879839249833;0.0621835231078;0.0132350971199;0.0447421299397;8.0;7.6;8.1;1.7;1.6;1.7;9.4;7.1;9.7;29.5;31.1;32.2;49.1;45.5;33.8;32.3;26.7;17.0;8.8;5.9;4.0;74.0;52.0;20.1;299.3;247.7;196.7;230.6;192.6;156.7;54.8;43.9;28.9;177.1;184.9;168.3;15.1;17.9;14.3;63.9;65.5;46.5;143.0;160.8;113.4;149.2;127.6;141.4;18.3;18.0;28.6;20.5;21.0;18.8;26.2;38.5;36.2;14.9;20.7;19.1;3.0;7.1;4.5;3.12811033698;2.94763920896;2.64326496088;1.99061566899;1.60780320489;1.58595897653;24.7405090289;31.8880968969;40.1776274054;1.42186833499;2.14373760652;1.05730598435
Alamance;158276.0;0.227488690642;0.1640615128;0.65752862089;0.19642902272;0.0218858197073;0.124156536683;9.2;9.2;9.7;1.9;1.7;1.9;12.0;9.6;11.0;27.0;31.5;29.3;47.2;44.0;27.1;33.2;30.1;20.0;9.4;7.0;8.8;72.5;61.4;62.8;302.5;249.8;223.7;207.9;180.6;164.2;68.8;51.8;41.8;194.1;186.1;175.1;16.3;15.2;15.7;59.7;56.2;49.5;184.5;174.1;138.3;156.6;142.7;169.9;27.1;22.3;22.9;18.5;12.5;12.4;26.3;30.4;31.1;8.8;10.5;11.2;5.6;5.2;3.8;5.90973953904;7.75136322888;7.51015797007;4.18005967396;4.38120530328;4.42906752081;57.5118555141;70.7059132791;77.9259126126;1.65760987071;2.02209475536;2.56757537438
Ashe;27020.0;0.182568467802;0.240562546262;0.927831236121;0.0105847520355;0.00832716506292;0.0532568467802;8.2;8.7;7.7;2.0;1.2;1.6;11.5;9.1;9.9;35.7;39.2;34.4;53.8;58.9;39.9;23.7;28.3;30.8;13.1;2.9;6.0;89.6;34.5;51.4;271.1;247.4;216.5;200.5;180.9;167.9;57.9;49.9;33.7;179.2;165.8;176.2;18.3;13.6;13.8;59.3;45.1;49.6;163.8;150.3;89.5;117.4;109.9;136.5;24.1;17.0;18.6;29.1;21.7;12.4;35.8;36.3;34.0;21.1;25.6;15.5;8.1;2.5;1.7;6.31911532385;6.03819156163;6.19352958321;1.9747235387;2.26432183561;2.91460215681;47.7883096367;49.8150803834;66.3071990673;1.9747235387;1.50954789041;1.4573010784
Brunswick;122765.0;0.167441860465;0.280169429398;0.823948193703;0.112263267218;0.0159410255366;0.0478475135421;9.6;8.3;8.4;1.8;1.3;1.6;11.6;7.5;9.2;29.8;32.3;30.1;59.3;50.1;32.4;26.2;22.7;20.0;7.2;6.6;6.1;65.3;64.7;57.9;305.1;236.1;212.3;226.5;179.0;159.8;52.5;39.6;39.9;194.8;167.4;167.2;18.0;12.7;12.1;60.6;53.8;52.2;142.1;91.4;95.8;150.2;144.0;131.2;21.7;17.6;16.7;29.7;29.6;17.6;30.7;36.5;42.1;11.3;13.9;15.6;6.8;6.1;4.4;4.53530977359;5.69375087506;5.51623470306;2.8644061728;2.80020534839;3.30974082183;48.8142551947;49.7503150231;57.2839757625;2.7450559156;2.42684463527;3.98866201606
